               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.063431,            0.049035,            0.013296,             0.39965,             0.38188,             0.23141,            0.081603,            0.064146,            0.039551,            0.012375,            0.007426,            0.007426,            0.007426
                  80,            0.064624,            0.055607,            0.014227,             0.72328,             0.25704,             0.25726,            0.095866,            0.063476,            0.032228,            0.012424,            0.007393,            0.007393,            0.007393
                  81,            0.064033,            0.052439,            0.011946,             0.69388,             0.22183,             0.17529,            0.072769,            0.069802,             0.03177,            0.012143,             0.00736,             0.00736,             0.00736
                  82,             0.06637,            0.054008,            0.014535,             0.70147,             0.17958,             0.15739,            0.057382,            0.078748,             0.03422,            0.012274,            0.007327,            0.007327,            0.007327
                  83,            0.065749,            0.051279,            0.015101,             0.72128,             0.21526,             0.17648,            0.058582,            0.070386,            0.032144,            0.012247,            0.007294,            0.007294,            0.007294
                  84,            0.071515,            0.053358,            0.015171,             0.83281,             0.26761,             0.31112,             0.12378,            0.059688,              0.0309,            0.012439,            0.007261,            0.007261,            0.007261
                  85,            0.069898,            0.053107,             0.01313,             0.77391,             0.25704,             0.27901,             0.10838,            0.062858,             0.03705,            0.012344,            0.007228,            0.007228,            0.007228
                  86,            0.065301,            0.054902,            0.012646,             0.76694,             0.28521,              0.2618,            0.098729,            0.060578,            0.034387,             0.01207,            0.007195,            0.007195,            0.007195
                  87,             0.06795,            0.056623,            0.013663,              0.7431,              0.2993,             0.28512,             0.12208,            0.058141,            0.035948,            0.011603,            0.007162,            0.007162,            0.007162
                  88,            0.063198,            0.049344,            0.015713,             0.72436,             0.24296,             0.22184,             0.07847,            0.067372,            0.035284,              0.0117,            0.007129,            0.007129,            0.007129
                  89,            0.067456,            0.050999,            0.013247,             0.72707,             0.29577,             0.27087,             0.12146,            0.058794,            0.033337,            0.011572,            0.007096,            0.007096,            0.007096
                  90,            0.061329,            0.050615,            0.014161,              0.7829,             0.25704,             0.26539,             0.10375,            0.064686,            0.037321,            0.011469,            0.007063,            0.007063,            0.007063
                  91,            0.065287,            0.055471,            0.013778,              0.7216,             0.26627,             0.23703,            0.085756,            0.066801,            0.036051,            0.011935,             0.00703,             0.00703,             0.00703
                  92,            0.065685,            0.047199,            0.012734,             0.79248,             0.27465,             0.32629,             0.12004,            0.059008,            0.035116,            0.012506,            0.006997,            0.006997,            0.006997
                  93,            0.063993,            0.052369,            0.012758,              0.7493,             0.24296,             0.24562,            0.085028,            0.065383,            0.038101,            0.012064,            0.006964,            0.006964,            0.006964
                  94,            0.060326,            0.049489,            0.014246,             0.44142,             0.37711,             0.33227,             0.13612,            0.058071,            0.031712,            0.011902,            0.006931,            0.006931,            0.006931
                  95,            0.067101,            0.052732,            0.013482,             0.39226,             0.33838,             0.31871,             0.11976,            0.061188,             0.03275,            0.012274,            0.006898,            0.006898,            0.006898
                  96,            0.059998,            0.051342,              0.0125,             0.60343,             0.33838,             0.35667,             0.15552,            0.056546,            0.030739,            0.012167,            0.006865,            0.006865,            0.006865
                  97,            0.064279,            0.046841,            0.013409,             0.35172,             0.32077,             0.24174,            0.093812,            0.062779,            0.031067,            0.012128,            0.006832,            0.006832,            0.006832
                  98,            0.061628,            0.057493,            0.013473,             0.44323,             0.32782,             0.26178,            0.097331,            0.063178,            0.028721,            0.011813,            0.006799,            0.006799,            0.006799
                  99,            0.062034,            0.045508,            0.013999,              0.3131,             0.32782,             0.23277,              0.0957,            0.060418,            0.029978,            0.012015,            0.006766,            0.006766,            0.006766
                 100,            0.065498,            0.048866,            0.013264,             0.40605,             0.32858,             0.24919,            0.088261,            0.059819,            0.030345,            0.012057,            0.006733,            0.006733,            0.006733
                 101,            0.061816,            0.045721,            0.011965,             0.82085,             0.27113,             0.31398,             0.11858,            0.061962,            0.029817,            0.011899,              0.0067,              0.0067,              0.0067
                 102,            0.057905,             0.04831,            0.012669,             0.71957,             0.35599,             0.34347,             0.14163,            0.057717,            0.029552,            0.011688,            0.006667,            0.006667,            0.006667
                 103,            0.058861,            0.046716,            0.011561,             0.48108,             0.30891,             0.29031,              0.1016,             0.06322,             0.02952,            0.011658,            0.006634,            0.006634,            0.006634
                 104,            0.062217,            0.047012,            0.013876,             0.42083,             0.34542,             0.35217,             0.13878,            0.056497,            0.030597,            0.012201,            0.006601,            0.006601,            0.006601
                 105,            0.064136,            0.050571,            0.014503,             0.54718,              0.3243,             0.30886,             0.11158,            0.063298,             0.03139,             0.01181,            0.006568,            0.006568,            0.006568
                 106,            0.059225,            0.049257,            0.013131,             0.83309,             0.27405,             0.31014,             0.13495,            0.059168,            0.030848,             0.01218,            0.006535,            0.006535,            0.006535
                 107,            0.060826,            0.048047,            0.015269,             0.49531,             0.33486,             0.33571,             0.13909,            0.058046,             0.03215,            0.012018,            0.006502,            0.006502,            0.006502
                 108,            0.060751,            0.054283,            0.013693,              0.6085,             0.33486,             0.32079,             0.12494,            0.061835,            0.033059,            0.011844,            0.006469,            0.006469,            0.006469
                 109,            0.062946,            0.044843,            0.013899,              0.8179,             0.28873,             0.31812,             0.12471,            0.057703,            0.034678,              0.0121,            0.006436,            0.006436,            0.006436
                 110,            0.059018,            0.046639,            0.012629,             0.78925,              0.3169,             0.29309,             0.12282,            0.056652,            0.032208,            0.011798,            0.006403,            0.006403,            0.006403
                 111,            0.063886,            0.050149,            0.012097,             0.48604,             0.33486,             0.35738,             0.14818,            0.056052,            0.028392,            0.011749,             0.00637,             0.00637,             0.00637
                 112,            0.059763,            0.045593,            0.012191,              0.6637,             0.30669,             0.32182,             0.12272,            0.061474,            0.028205,            0.011578,            0.006337,            0.006337,            0.006337
                 113,            0.061458,            0.049841,            0.011914,             0.49571,             0.38781,              0.3219,             0.12919,            0.056102,            0.028424,            0.011316,            0.006304,            0.006304,            0.006304
                 114,            0.061144,            0.055619,             0.01403,             0.25938,             0.28023,             0.22013,            0.077209,            0.068389,            0.049957,            0.011993,            0.006271,            0.006271,            0.006271
                 115,            0.058885,            0.058426,             0.01374,             0.50387,             0.32109,             0.35328,             0.14148,             0.05813,            0.029617,            0.011227,            0.006238,            0.006238,            0.006238
                 116,            0.058831,            0.045205,            0.013937,             0.47394,              0.3944,             0.40081,             0.14669,            0.058213,            0.029275,            0.011282,            0.006205,            0.006205,            0.006205
                 117,            0.064926,            0.048175,             0.01318,              0.3308,             0.44824,             0.28686,             0.10133,            0.057364,            0.032421,            0.010928,            0.006172,            0.006172,            0.006172
                 118,            0.055087,            0.048683,            0.013897,             0.43677,             0.37225,             0.38217,               0.168,            0.054685,            0.029398,            0.011008,            0.006139,            0.006139,            0.006139
                 119,            0.056226,            0.052759,            0.012153,             0.84392,             0.32746,             0.35227,             0.15456,            0.054592,            0.030042,            0.010687,            0.006106,            0.006106,            0.006106
